,train,val,test
BL-12-M36379,True,False,False
BL-13-A24258,True,False,False
BL-13-A27875,True,False,False
BL-13-A29917,True,False,False
BL-13-A32814,True,False,False
BL-13-A33185,True,False,False
BL-13-A36427,True,False,False
BL-13-A38307,True,False,False
BL-13-A38942,True,False,False
BL-13-A39799,True,False,False
BL-13-D25028,True,False,False
BL-13-D30634,True,False,False
BL-13-D32806,True,False,False
BL-13-D33194,True,False,False
BL-13-D43223,True,False,False
BL-13-D43630,True,False,False
BL-13-D43694,True,False,False
BL-13-E23110,True,False,False
BL-13-E24244,True,False,False
BL-13-E27292,True,False,False
BL-13-E28458,True,False,False
BL-13-E30643,True,False,False
BL-13-E33787,True,False,False
BL-13-E34597,True,False,False
BL-13-E36087,True,False,False
BL-13-E36430,True,False,False
BL-13-E38097,True,False,False
BL-13-E38325,True,False,False
BL-13-E41887,True,False,False
BL-13-E42388,True,False,False
BL-13-F20412,True,False,False
BL-13-F22503,True,False,False
BL-13-F25419,True,False,False
BL-13-F25730,True,False,False
BL-13-F26783,True,False,False
BL-13-F30179,True,False,False
BL-13-F33943,True,False,False
BL-13-F36486,True,False,False
BL-13-F37330,True,False,False
BL-13-F39892,True,False,False
BL-13-F39924,True,False,False
BL-13-F40274,True,False,False
BL-13-F41359,True,False,False
BL-13-F42821,True,False,False
BL-13-G25526,True,False,False
BL-13-G27877,True,False,False
BL-13-G28427,True,False,False
BL-13-G30173,True,False,False
BL-13-G31648,True,False,False
BL-13-G32070,True,False,False
BL-13-G33317,True,False,False
BL-13-G34875,True,False,False
BL-13-G38326,True,False,False
BL-13-G42553,True,False,False
BL-13-J24237,True,False,False
BL-13-J24936,True,False,False
BL-13-J29928,True,False,False
BL-13-J30994,True,False,False
BL-13-J33179,True,False,False
BL-13-J34332,True,False,False
BL-13-J39047,True,False,False
BL-13-J40650,True,False,False
BL-13-J42138,True,False,False
BL-13-J43468,True,False,False
BL-13-K24246,True,False,False
BL-13-K26501,True,False,False
BL-13-K30174,True,False,False
BL-13-K34682,True,False,False
BL-13-K37144,True,False,False
BL-13-K37289,True,False,False
BL-13-K39934,True,False,False
BL-13-K41322,True,False,False
BL-13-M27043,True,False,False
BL-13-M33523,True,False,False
BL-13-M36488,True,False,False
BL-13-N14934,True,False,False
BL-13-N28463,True,False,False
BL-13-N36092,True,False,False
BL-13-N36872,True,False,False
BL-13-N38102,True,False,False
BL-13-N42800,True,False,False
BL-13-R23041,True,False,False
BL-13-R23819,True,False,False
BL-13-R32211,True,False,False
BL-13-R33004,True,False,False
BL-13-R34871,True,False,False
BL-13-R35470,True,False,False
BL-13-R35485,True,False,False
BL-13-R36491,True,False,False
BL-13-R38239,True,False,False
BL-13-R42532,True,False,False
BL-13-R43472,True,False,False
BL-13-T22272,True,False,False
BL-13-T29014,True,False,False
BL-13-T32171,True,False,False
BL-13-T35835,True,False,False
BL-13-T36483,True,False,False
BL-13-T40205,True,False,False
BL-13-T40497,True,False,False
BL-13-T40531,True,False,False
BL-13-T43871,True,False,False
BL-13-W22671,True,False,False
BL-13-W24242,True,False,False
BL-13-W25928,True,False,False
BL-13-W29771,True,False,False
BL-13-W30170,True,False,False
BL-13-W35486,True,False,False
BL-13-W39815,True,False,False
BL-13-W40506,True,False,False
BL-13-W43488,True,False,False
BL-13-X26276,True,False,False
BL-13-X26779,True,False,False
BL-13-X28269,True,False,False
BL-13-X29778,True,False,False
BL-13-X30145,True,False,False
BL-13-X39775,True,False,False
BL-13-X39922,True,False,False
BL-13-X43676,True,False,False
BL-13-X44177,True,False,False
BL-14-A04424,True,False,False
BL-14-A05820,True,False,False
BL-14-A07033,True,False,False
BL-14-A07781,True,False,False
BL-14-A08248,True,False,False
BL-14-A13010,True,False,False
BL-14-A13138,True,False,False
BL-14-A13935,True,False,False
BL-14-A20769,True,False,False
BL-14-A21971,True,False,False
BL-14-A28811,True,False,False
BL-14-A30020,True,False,False
BL-14-A32597,True,False,False
BL-14-A36732,True,False,False
BL-14-A37638,True,False,False
BL-14-A38335,True,False,False
BL-14-D09928,True,False,False
BL-14-D10474,True,False,False
BL-14-D11738,True,False,False
BL-14-D14266,True,False,False
BL-14-D14673,True,False,False
BL-14-D15596,True,False,False
BL-14-D20032,True,False,False
BL-14-D21980,True,False,False
BL-14-D23843,True,False,False
BL-14-D26241,True,False,False
BL-14-D26403,True,False,False
BL-14-D31097,True,False,False
BL-14-D34226,True,False,False
BL-14-D34861,True,False,False
BL-14-D34974,True,False,False
BL-14-D36643,True,False,False
BL-14-D40544,True,False,False
BL-14-D41030,True,False,False
BL-14-D43217,True,False,False
BL-14-E01669,True,False,False
BL-14-E02057,True,False,False
BL-14-E03730,True,False,False
BL-14-E09189,True,False,False
BL-14-E12167,True,False,False
BL-14-E13433,True,False,False
